Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,GP,MPG,PPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,AST/TO,FTR,3PATR,SQ,HT,POS,CLASS,CONFERENCE,SEASON,YEAR,POS-GROUP,NAT,TEAM_NAME,LEAGUE,DOB,TIER
Jack DeRose,STBN,1.5,1.5,200,0,0,0,0,50,0,0,53.5,-51.1,3,-845.4,116.5,-961.9,0.8,41.8,3,0.7,1,0.3,0.3,1,0.3,0.3,1,0,0,0,0,0,0,0,0,0,0.3,0.3,0.00,0.0,100.0,94.0,6-0,G,So,A-10,24-25,25,GUARD,USA,St. Bonaventure,NCAA,-,High-Major
Goanar Biliew,BRDLY,0.822,0.8,210,10.4,9.6,10,14.4,0,0,10.5,22.4,5.5,1.8,180.2,87.2,93,8.6,41.6,5,2.4,1.8,0.6,1,0.6,0.4,0.8,0.5,0.2,0.2,1,0.2,0.2,0.4,0.2,0,0.2,0,0,,20.0,80.0,69.3,6-8,F,Sr,MVC,24-25,25,FORWARD,USA,Bradley,NCAA,1/30/2002,High-Major
Justin Cross,KU,1,1,100,0,21.9,12.8,18.6,0,6.3,25.5,11.5,7.5,2,204,58.3,145.7,7.5,41.2,5,1.8,0.8,0.4,0.4,1,0,0,0,0,0,0,0,0.4,0.4,0.2,0.2,0.4,0,0.2,,0.0,0.0,35.0,6-8,F,Jr,B12,24-25,25,FORWARD,USA,Kansas,NCAA,-,Power 5
Brendan Scanlon,STFPA,0.75,0.75,75,0,0,0,41.4,0,6,0,21.6,21.4,1.5,176.6,73.7,102.9,7,41.2,1,10,6,3,4,0.75,0,1,0,0,0,0,0,0,0,3,1,0,0,0,,0.0,25.0,35.0,5-8,G,Sr,NEC,24-25,25,GUARD,USA,Saint Francis,NCAA,-,Low-Major
Nick Randall,COLO,1,1,100,40.4,0,21.5,0,0,0,0,16.5,0,2,209.2,93.3,115.9,2.3,41.2,1,3,2,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,35.0,6-8,F,Fr,B12,24-25,25,FORWARD,USA,Colorado,NCAA,9/16/2004,Power 5
Colin O'Rourke,U of T,1,1,100,0,0,0,0,50,0,0,101.9,-98.4,2,96.5,125.5,-29.1,0.3,39.2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00,0.0,0.0,35.0,6-8,PF,Sr,MAC,24-25,25,FORWARD,USA,Toledo,NCAA,-,Mid-Major
Tommy Pinegar,MZZST,1.5,1.5,200,0,23.3,10.9,0,0,9.5,0,8.6,0,3,300,87.5,212.5,4,37.6,3,2,1,0.3,0.3,1,0.3,0.3,1,0,0,0,0,0.3,0.3,0,0.3,0,0,0,,0.0,100.0,94.0,6-2,G,So,MVC,24-25,25,GUARD,USA,Missouri State,NCAA,7/18/2003,High-Major
Tyler Bush,GASO,1.5,1.5,200,0,0,0,0,0,0,0,12,0,3,300,105.5,194.5,2.3,36.8,3,1.3,1,0.3,0.3,1,0.3,0.3,1,0,0,0,0,0,0,0,0,0,0,0,,0.0,100.0,94.0,6-5,F,Sr,Sun Belt,24-25,25,FORWARD,USA,Georgia Southern,NCAA,-,Mid-Major
Davyn de Jongh,USNA,1,1,100,0,30.3,16.6,61.2,0,0,0,13,17.5,2,210.1,96,114.1,3,36.7,3,1.3,0.7,0.3,0.3,1,0,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,,0.0,0.0,35.0,6-0,G,Fr,Patriot,24-25,25,GUARD,USA,Navy,NCAA,-,Low-Major
Oscar Cluff,SDKSU,0.675,0.64,207.8,19.8,34.4,27.5,21.8,14.4,1,3.9,27.3,-1.1,1.7,135.4,99.7,35.7,566.3,36.2,30,27.5,17.6,6.6,10.5,0.634,0.1,0.2,0.667,4.2,5.4,0.778,4.2,8.1,12.3,2.8,0.5,0.8,2.2,2.2,1.27,51.4,1.9,54.5,6-11,C,Sr,Summit,24-25,25,BIG,AUS,South Dakota State,NCAA,11/22/2001,Low-Major
Kamari Jones,WCU,0.573,0.55,190,22.2,9.7,15.5,24.7,8.7,0,11,47.1,-2.8,1.2,117.2,100.9,16.3,7.4,35.9,4,2.8,3,1,2.5,0.4,0.8,1.5,0.5,0.3,0.3,1,0.5,0.3,0.8,0.3,0,0.3,0.3,0.3,1.00,12.0,60.0,60.3,6-4,G,Fr,SoCon,24-25,25,GUARD,USA,Western Carolina,NCAA,-,Low-Major
Jake Pike,LEHI,0.753,0.773,213.6,19.8,17.3,18.5,0,14.3,4.2,3.7,26.9,-7.4,1.6,124.2,91.9,32.3,17,35.7,8,3.4,2.3,0.9,1.4,0.636,0.4,0.4,1,0.1,0.3,0.5,0.5,0.5,1,0,0.3,0.1,0.3,0,0.00,21.4,28.6,64.8,6-8,F,So,Patriot,24-25,25,FORWARD,USA,Lehigh,NCAA,-,Low-Major
Patrick Bath,NDSU,0.66,0.643,139.3,5.9,15.7,11.1,0,0,0,4.2,35,0,1.5,134.8,97.7,37.1,10.8,34.8,7,3.4,3,1.3,2,0.643,0,0.3,0,0.4,0.6,0.75,0.1,0.4,0.6,0,0,0.1,0,0.7,,30.0,15.0,37.4,6-9,PF,Fr,Summit,24-25,25,FORWARD,USA,North Dakota State,NCAA,-,Low-Major
Desmond Roberts,UVA,0.506,0.333,133.3,22,39,31,0,0,0,0,38,0,1.3,124.2,80.5,43.7,3.5,34.5,5,1.1,0.8,0.2,0.6,0.333,0,0,0,0.4,0.4,1,0.2,0.4,0.6,0,0,0,0,0,,66.7,0.0,34.4,6-4,G,Fr,ACC,24-25,25,GUARD,USA,Virginia,NCAA,-,Power 5
"Julius Reese, Jr.",NC A&T,0.69,0,100,13.9,45.4,28.9,0,0,0,0,18.7,0,4,176.4,98.3,78.1,5,33.9,4,1.8,1,0,0.3,0,0,0.3,0,1,1,1,0.3,0.8,1,0,0,0,0,0,,333.3,100.0,84.0,6-3,GF,So,CAA,24-25,25,WING,USA,NC A&T,NCAA,-,Mid-Major
Bob Nunge,XAV,0,0,0,0,0,0,97.6,0,0,0,0,62,0,229.3,85.2,144.1,1,33.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,6-6,G,Sr,Big East,24-25,25,GUARD,USA,Xavier,NCAA,7/7/2002,Power 5
Alex Koch,MER,0.641,0.75,125,22.8,29.1,26,0,11.4,3.6,0,26.4,-6.2,2.5,129.2,59.4,69.8,9.5,33.4,3,4.7,3.3,1,1.3,0.75,0,0,0,1.3,2.7,0.5,1,1.3,2.3,0,0.3,0,0.3,0.3,0.00,207.7,0.0,48.2,6-8,C,Fr,SoCon,24-25,25,BIG,USA,Mercer,NCAA,-,Low-Major
Zavier Banks,OAKL,0.618,0.5,135.7,29,8.8,19.2,15.4,8.1,0,0,23.6,1.3,1.8,143.5,114.2,29.3,14.4,33.3,7,3.9,2,0.6,1.1,0.5,0,0,0,0.9,1,0.857,1,0.3,1.3,0.3,0,0,0.1,0.1,3.00,90.9,0.0,39.3,6-5,GF,Fr,Horizon,24-25,25,WING,USA,Oakland,NCAA,-,Low-Major
J.T. Toppin,TXTCH,0.592,0.574,155.8,14.6,28.1,21.3,10.2,9,1.8,5.8,31.7,-2.7,1.4,122.7,95.5,27.2,503.3,33,33,27.3,18.2,7.5,13.5,0.554,0.5,1.7,0.327,2.8,4.1,0.676,3.2,6.2,9.4,1.2,0.8,1.5,1.5,2.3,0.80,30.4,12.6,49.1,6-9,F,So,B12,24-25,25,FORWARD,USA,Texas Tech,NCAA,6/14/2005,Power 5
Graham Ike,ZAGS,0.656,0.615,179.7,11.8,27,19.8,12.5,10.8,1.5,3.1,31.9,-2.7,1.6,128.6,94.6,34.1,451.6,32.9,35,22.9,17.3,6.5,10.9,0.598,0.4,0.9,0.394,3.9,4.8,0.805,2.1,5.2,7.3,1.4,0.6,0.6,1.6,2.9,0.88,44.0,8.3,51.0,6-9,F,Sr,WCC,24-25,25,FORWARD,USA,Gonzaga,NCAA,8/3/2002,High-Major
Jagger Bascombe,MRST,1,1,100,0,0,0,0,0,0,0,18.9,0,2,200,87.5,112.5,1.3,32.6,2,1.5,1,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,35.0,6-4,G,Fr,MAAC,24-25,25,GUARD,USA,Marist,NCAA,-,Low-Major
Wilder Evers,KU,1,1,146.7,0,13.5,7.8,0,0,3.7,0,16.3,0,2,190.5,77,113.5,7.8,32.3,6,2.5,1.7,0.7,0.8,0.8,0.3,0.5,0.667,0,0,0,0,0.3,0.3,0,0.2,0,0,0.3,,0.0,62.5,63.6,6-4,G,So,B12,24-25,25,GUARD,USA,Kansas,NCAA,-,Power 5
Dylan Faulkner,LIP,0.631,0.608,131,12.7,21.1,17.2,23.1,14.5,1.7,9.8,27.7,-0.4,1.5,124,88.4,35.6,157.4,32.2,15,17.5,10.5,4.1,6.8,0.608,0,0.5,0,2.2,3.1,0.702,1.8,3.5,5.3,2,0.5,1.7,1.4,1.8,1.43,45.6,7.4,37.3,6-9,F,So,A-SUN,24-25,25,FORWARD,USA,Lipscomb,NCAA,-,Low-Major
Cooper Nadler,SIENA,1,1,100,0,0,0,0,0,0,0,16.8,0,2,200,110.7,89.3,1.3,31.7,2,1.5,1,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,35.0,6-5,GF,Fr,MAAC,24-25,25,WING,USA,Siena,NCAA,-,Low-Major
Avishai Lowery,JKSNV,0.5,0.5,50,39.8,0,18.8,0,0,0,0,33.7,0,1,127.9,106.5,21.5,1.5,31.6,2,1.5,1,0.5,1,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,,0.0,0.0,17.5,6-0,G,Sr,C-USA,24-25,25,GUARD,USA,Jacksonville State,NCAA,-,Mid-Major
Lucas Scroggins,VAL,0.905,1,100,18.1,18.9,18.5,13.8,28.7,1.8,13.8,20.9,-8.2,2,123.5,92,31.5,18.3,31.6,7,4.6,2.6,1.3,1.3,1,0,0,0,0,0.3,0,0.7,0.7,1.4,0.3,0.1,0.6,0.6,1.1,0.50,23.1,0.0,34.0,6-9,F,Fr,MVC,24-25,25,FORWARD,USA,Valparaiso,NCAA,-,High-Major
Sven Djopmo,ARZ,0.5,0.5,50,0,47.1,25.5,0,33.3,28,0,66.7,-49.4,1,56.6,-3.5,60.1,1.3,31.6,2,1,1,0.5,1,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0.5,0,0.00,0.0,0.0,17.5,6-2,G,Fr,B12,24-25,25,GUARD,FRA,Arizona,NCAA,2/29/2004,Power 5
Cooper Flagg,DUKE,0.593,0.533,170.6,5.8,22.6,15,26.6,11.5,2.7,4.9,31,2.4,1.4,126.6,87.8,38.8,621.4,31.5,37,30.5,19.2,6.5,13.4,0.481,1.4,3.6,0.385,4.8,5.8,0.84,1.3,6.2,7.5,4.2,1.4,1.4,2.1,1.9,2.00,43.3,26.9,65.1,6-9,F,Fr,ACC,24-25,25,FORWARD,USA,Duke,NCAA,12/21/2006,Power 5
Johni Broome,AUB,0.547,0.534,137.5,15.5,28.6,22.2,19.4,8.5,1.8,7.5,30.4,1.1,1.3,121.8,93.4,28.3,650.4,31.5,36,30.3,18.6,7.3,14.3,0.51,0.7,2.5,0.278,3.3,5.6,0.587,3.7,7.1,10.8,2.9,0.9,2.1,1.6,2.1,1.81,39.2,17.5,51.0,6-10,C,Sr,SEC,24-25,25,BIG,USA,Auburn,NCAA,7/19/2002,Power 5
Tanner O'Grady,RMU,0.667,0.667,66.7,0,37.5,18.7,0,0,8.2,0,21.2,0,1.3,132.1,69.7,62.4,3.8,31.4,4,1.8,1,0.5,0.8,0.667,0,0.3,0,0,0,0,0,0.5,0.5,0,0.3,0,0,0.3,,0.0,37.5,30.5,6-0,G,Jr,Horizon,24-25,25,GUARD,USA,Robert Morris,NCAA,-,Low-Major
Aniwaniwa Tait-Jones,UCSD,0.649,0.596,163.9,5.9,17.4,11.6,25.9,12.1,2.4,1.9,29.8,1.3,1.8,130.6,91.8,38.8,508.9,31.1,35,29.6,19.1,6.2,10.7,0.576,0.4,1.4,0.313,6.4,8.5,0.751,1.4,4.1,5.4,3.6,1.2,0.4,2,2.1,1.80,79.4,13.1,55.0,6-6,F,Sr,BWC,24-25,25,FORWARD,NZL,UC San Diego,NCAA,1/5/2001,Mid-Major
Anthony Roy,UWGB,0.679,0.638,179.9,2.1,16.7,9.7,23.9,12.6,2.5,0.3,34.7,-2.4,1.6,123,113.1,9.9,176,30.7,11,32.8,25.7,8.1,16.1,0.503,4.4,10.1,0.432,5.2,6,0.864,0.5,4.7,5.3,2.9,1.5,0.1,2.7,2.5,1.07,37.3,62.7,106.8,6-5,F,Sr,Horizon,24-25,25,FORWARD,USA,Green Bay,NCAA,12/6/2001,Low-Major
"Tarris Reed, Jr.",UConn,0.671,0.67,131.4,19.1,30.3,24.9,10.8,14.3,2,9,22.5,-2.7,1.7,131,94.5,36.4,385.9,30.6,35,19.9,9.6,3.9,5.8,0.67,0,0,0,1.9,2.9,0.644,2.7,4.6,7.3,1,0.7,1.6,1.2,2.7,0.83,50.0,0.0,34.9,6-10,PF,Jr,Big East,24-25,25,FORWARD,USA,UConn,NCAA,8/5/2003,Power 5
Andrew Sineway,HP,0.692,0.714,121.4,7.4,19.1,13.7,10.6,0,3.1,0,21.7,3.6,1.6,152.6,77.9,74.8,8.3,30.5,9,2,1.2,0.6,0.8,0.714,0,0.2,0,0.1,0.2,0.5,0.1,0.3,0.4,0.1,0.1,0,0,0.4,,25.0,25.0,36.5,6-7,F,Fr,BSC,24-25,25,FORWARD,USA,High Point,NCAA,-,Low-Major
Yaxel Lendeborg,UAB,0.592,0.549,163.6,12.5,27,19.6,22.8,12.7,2.9,5.2,24,1.9,1.4,127.1,98.7,28.4,747,30.5,37,33.6,17.7,6.4,12.3,0.522,0.7,1.9,0.357,4.1,5.5,0.757,3.7,7.6,11.4,4.2,1.7,1.8,2.2,2.5,1.91,44.7,15.4,53.5,6-9,F,Sr,AAC,24-25,25,FORWARD,USA,UAB,NCAA,9/30/2002,High-Major
