Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,GP,MPG,PPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,AST/TO,FTR,3PATR,SQ,HT,POS,CLASS,CONFERENCE,SEASON,YEAR,POS-GROUP,NAT,TEAM_NAME,LEAGUE,DOB,TIER
Hugo Maton,UNCA,1,1,133.3,33.6,0,16.4,30,0,0,0,19.8,9.8,2,217,91.3,125.7,6.8,50.1,2,3.5,3,1,1.5,0.667,1,1.5,0.667,0,0,0,1,0,1,0.5,0,0,0,0,,0.0,100.0,74.2,6-2,G,Fr,BSC,25-26,26,GUARD,BEL,UNC Asheville,NCAA,-,Low-Major
Brennan Ramirez,BOISE,1.5,1.5,200,0,0,0,0,0,0,0,17.6,0,3,300,97.3,202.7,2.3,50,2,1.5,1.5,0.5,0.5,1,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,,0.0,100.0,95.0,6-2,G,Sr,MWC,25-26,26,GUARD,USA,Boise State,NCAA,-,High-Major
Ian Sabourin,XAV,1.186,1.5,250,14.8,0,7.7,0,0,0,0,20.1,0,3.5,175.8,114.8,60.9,5.8,48.3,6,1.2,1.2,0.3,0.3,1,0.3,0.3,1,0.2,0.3,0.5,0.2,0,0.2,0,0,0,0,0,,100.0,100.0,98.0,6-4,GF,Sr,Big East,25-26,26,WING,USA,Xavier,NCAA,6/22/2003,Power 5
Connor Gal,TEM,0.722,0.722,91.7,0,0,0,0,0,5.1,0,42.6,0,1.4,108.8,88.1,20.7,7.3,47.5,4,2.8,3.3,1.5,2.3,0.667,0.3,1,0.25,0,0,0,0,0,0,0,0.3,0,0,0,,0.0,43.5,43.0,6-4,GF,Sr,AAC,25-26,26,WING,USA,Temple,NCAA,-,High-Major
Porter Ihnen,SODAK,1.005,1.056,250,30.3,32.5,31.3,9.4,9.1,2.1,0,18.8,-1.3,2.2,182.1,105.4,76.7,24.5,46.9,4,6.3,5,2.3,2.3,1,0.3,0.3,1,0.3,0.5,0.5,1.8,1.5,3.3,0.3,0.3,0,0.3,0.3,1.00,21.7,13.0,70.8,6-6,F,Fr,Summit,25-26,26,FORWARD,USA,South Dakota,NCAA,-,Low-Major
Tobi Raji,USNA,0,0,0,125,0,60.6,0,0,0,0,0,0,0,217.7,57.5,160.2,1,46.8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,6-6,F,So,Patriot,25-26,26,FORWARD,USA,Navy,NCAA,-,Low-Major
Timothy Coleman,UNH,1,1,175,21.8,11.1,16.5,40.3,0,0,0,16.8,18.5,2,217.5,90,127.5,10.3,46.3,3,3.7,2.7,1,1.3,0.75,0.7,0.7,1,0,0,0,0.7,0.3,1,1,0,0,0,0.3,,0.0,53.8,71.6,6-7,F,Jr,NEC,25-26,26,FORWARD,USA,New Hampshire,NCAA,-,Low-Major
DeAndre Jones,KENT,0.943,1,150,19,32.4,26.6,8.2,11.2,1.5,7.5,24.1,-3.5,2.1,154.3,85.1,69.2,31.8,45.1,6,5.5,5,2.3,2.3,1,0,0,0,0.3,0.7,0.5,0.8,1.8,2.7,0.2,0.2,0.3,0.3,0.5,0.67,30.4,0.0,41.0,6-8,F,Fr,MAC,25-26,26,FORWARD,USA,Kent State,NCAA,-,Mid-Major
Max Davis,DREX,1,1,146.7,0,18.8,9.6,53.7,16.7,4.7,0,25.3,2.8,2,150.4,74.2,76.2,9.8,44.6,4,3,2.5,1,1.3,0.8,0.5,0.8,0.667,0,0,0,0,0.5,0.5,0.5,0.3,0,0.3,0,1.67,0.0,61.5,64.9,6-4,G,Sr,CAA,25-26,26,GUARD,USA,Drexel,NCAA,-,Mid-Major
Steven McLeod,USNA,0,0,0,0,0,0,0,0,0,125,0,0,0,0,9.8,-9.8,1,44.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,6-1,G,Fr,Patriot,25-26,26,GUARD,USA,Navy,NCAA,-,Low-Major
Kwame Tanic,GAST,1.5,1.5,200,0,49.4,21.9,0,0,0,0,14.8,0,3,300,100.9,199.1,2.5,44.4,1,3,3,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,,0.0,100.0,97.5,6-7,F,Fr,Sun Belt,25-26,26,FORWARD,FRA,Georgia State,NCAA,-,Mid-Major
Ben Wesson,UVM,0.818,0.857,188.1,8.7,8.3,8.5,16.7,11.2,4,8.9,31.1,-2.3,1.9,141.7,87.9,53.8,10.3,44.4,6,2.5,2.2,0.8,1.2,0.714,0.3,0.5,0.667,0.2,0.3,0.5,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,1.00,25.0,41.7,61.6,6-4,G,So,AEC,25-26,26,GUARD,USA,Vermont,NCAA,-,Low-Major
Rowan Irelan,CTDL,0.643,0.643,85.7,10.3,20.5,15.4,0,12.5,15.3,10,34.5,-8.9,1.3,117.5,71.2,46.2,8.8,44.4,6,2,1.5,0.5,1.2,0.429,0.5,1.2,0.429,0,0,0,0.2,0.3,0.5,0,0.5,0.2,0.2,0.2,0.00,0.0,100.0,54.2,6-3,G,So,SoCon,25-26,26,GUARD,USA,The Citadel,NCAA,-,Low-Major
Connor Dubsky,UNCA,0.833,0.833,111.1,0,0,0,19.7,10,4.5,0,36.2,-2.7,1.7,146.5,82,64.5,9.3,44.1,1,13,15,5,9,0.556,5,9,0.556,0,0,0,0,0,0,1,1,0,1,0,1.00,0.0,100.0,103.1,6-4,G,Jr,BSC,25-26,26,GUARD,USA,UNC Asheville,NCAA,-,Low-Major
Brandon Dwyer,FGCU,1,1,133.3,0,0,0,0,0,0,0,22.4,0,2,210.4,88.2,122.3,3.8,43.3,3,2,2,0.7,1,0.667,0.7,1,0.667,0,0,0,0,0,0,0,0,0,0,0,,0.0,100.0,71.7,6-3,G,Sr,A-SUN,25-26,26,GUARD,USA,Florida Gulf Coast,NCAA,-,Low-Major
Julian Gabbidon,USNA,0.672,0.6,160,32.4,13.5,22.1,0,0,0,0,34.1,0,1.6,154,94.5,59.5,6.3,43.3,7,1.3,1.1,0.4,0.7,0.6,0,0,0,0.3,0.3,1,0.3,0.1,0.4,0,0,0,0,0,,42.9,0.0,37.8,6-2,G,Jr,Patriot,25-26,26,GUARD,USA,Navy,NCAA,-,Low-Major
Vasilije Kuridza,TULAN,0,0,0,57.1,0,28.4,160,0,0,0,0,68.5,0,247.1,113.4,133.8,2,42.2,2,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0,0,0,1,,,,,6-9,PF,Fr,AAC,25-26,26,FORWARD,BOS,Tulane,NCAA,1/5/2006,High-Major
Wade Chiddick,VILL,0.789,0,75,0,0,0,0,0,0,0,32.9,0,0,186.5,112,74.5,1.5,41.7,2,1.5,1.5,0,0,0,0,0,0,1.5,2,0.75,0,0,0,0,0,0,0,0,,,,,6-4,G,Sr,Big East,25-26,26,GUARD,USA,Villanova,NCAA,12/3/2003,Power 5
T.J. Drain,LBRTY,0.731,0.8,80,13.5,22.1,18.2,22.3,8.4,0,20.1,30.4,1.7,1.6,132.5,83.3,49.2,16.8,41.4,6,3.5,2.7,1.3,1.7,0.8,0,0,0,0,0.3,0,0.3,0.7,1,0.3,0,0.7,0.2,0.3,1.50,17.6,0.0,27.3,6-8,F,Fr,C-USA,25-26,26,FORWARD,USA,Liberty,NCAA,-,Mid-Major
Riley Saunders,NDSU,1.071,1.071,142.9,0,15.3,8.1,24.1,12.5,0,0,23.9,2,2.1,173.7,89.8,83.9,12.3,40.9,8,2,1.9,0.6,0.9,0.714,0.6,0.9,0.714,0,0,0,0,0.3,0.3,0.3,0,0,0.1,0,3.00,0.0,100.0,74.8,6-0,G,Fr,Summit,25-26,26,GUARD,USA,North Dakota State,NCAA,-,Low-Major
Christopher Skenderi,QUIN,0.929,0.929,146.4,7.8,40.9,23.9,15.6,22.2,3.7,0,28.4,-8.6,1.9,130.3,87.3,43,12,40.6,5,3,2.6,1,1.4,0.714,0.6,0.8,0.75,0,0,0,0.2,1,1.2,0.2,0.2,0,0.4,0.2,0.50,0.0,57.1,63.8,6-7,F,Fr,MAAC,25-26,26,FORWARD,USA,Quinnipiac,NCAA,-,Low-Major
Zak Abdalla,UDM,0.847,0.75,250,0,15.4,7.1,28.2,0,7.7,0,18.7,9.3,2.5,194.5,95.2,99.2,5.5,40.5,4,1.9,1.3,0.3,0.5,0.5,0.3,0.3,1,0.5,0.5,1,0,0.3,0.3,0.3,0.3,0,0,0,,100.0,60.0,85.1,6-2,G,Fr,Horizon,25-26,26,GUARD,USA,Detroit Mercy,NCAA,-,Low-Major
Ethan Lathan,BOISE,0.652,0.6,135,30.1,35.7,33.2,0,0,0,11.8,35.2,0,1.8,151.4,83.9,67.5,6,39.9,5,2,1.8,0.6,1,0.6,0,0,0,0.6,0.8,0.75,0.4,0.6,1,0,0,0.2,0,1.2,,80.0,0.0,38.3,6-10,C,Fr,MWC,25-26,26,BIG,USA,Boise State,NCAA,-,High-Major
Onyx Nnani,USOFL,0,0,0,125,0,58.8,0,0,0,0,0,0,0,224.2,89.5,134.7,1,38.4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,6-9,F,Fr,AAC,25-26,26,FORWARD,CAN,South Florida,NCAA,5/21/2006,High-Major
Dior Kennedy,UNH,0.459,0.444,94.4,0,47.1,22.6,61.6,0,7,6.7,33.6,21.1,1.1,121,77.7,43.3,13.3,38.2,6,2.8,1.7,0.7,1.5,0.444,0,0.3,0,0.3,0.7,0.5,0,1,1,0.8,0.3,0.2,0,0.3,,46.7,20.0,30.2,6-2,G,Fr,NEC,25-26,26,GUARD,USA,New Hampshire,NCAA,-,Low-Major
Camden Webster,VAL,0.625,0.625,83.3,19.8,20.4,20.1,44.8,0,0,0,32.9,11.3,1.3,149.6,102.7,46.9,4.3,38.2,5,1.2,1,0.4,0.8,0.5,0.2,0.6,0.333,0,0,0,0.2,0.2,0.4,0.2,0,0,0,0.2,,0.0,75.0,44.5,6-3,G,Fr,MVC,25-26,26,GUARD,USA,Valparaiso,NCAA,-,High-Major
Brady Ganley,MIAMI,1.111,1.125,300,10.4,13.1,12,18.4,16.8,3.4,0,18.3,2,2.8,187,87.3,99.7,11.3,38.1,6,2.5,1.8,0.7,0.7,1,0.2,0.2,1,0.3,0.3,1,0.2,0.3,0.5,0.3,0.2,0,0.2,0.2,1.50,42.9,28.6,83.5,6-3,G,Fr,MAC,25-26,26,GUARD,USA,Miami (OH),NCAA,-,Mid-Major
Doryan Onwuchekwa,TULSA,1,1,100,0,0,0,0,0,0,0,21.6,0,2,200,89.5,110.5,2,38,1,4,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,35.0,6-11,C,So,AAC,25-26,26,BIG,USA,Tulsa,NCAA,-,High-Major
Malek Archie,TARST,0.639,0.7,70,12.7,17.6,15.2,0,0,7.6,17.9,23.6,0,1.4,135.3,67.8,67.4,15,37.9,2,10.5,7,3.5,5,0.7,0,0,0,0,1,0,1,1.5,2.5,0,1.5,1.5,0,1,,20.0,0.0,24.4,6-2,G,Fr,WAC,25-26,26,GUARD,USA,Tarleton State,NCAA,-,Mid-Major
Kaleb Spencer,W&M,0.548,0.567,111.7,38.5,37.9,38.2,38.6,19.6,6.1,12.9,28.3,1.8,1.2,119.7,75.8,43.9,33.6,37.7,6,5.5,3,1.3,2.5,0.533,0.2,0.7,0.25,0.2,0.5,0.333,1.7,2,3.7,1.2,0.7,0.7,0.7,0.7,1.71,20.0,28.0,38.5,6-9,F,Fr,CAA,25-26,26,FORWARD,USA,William & Mary,NCAA,-,Mid-Major
William Kruse,PENN,1.25,1.25,200,0,75.2,35.9,0,0,0,0,12.3,0,2.5,250,89.4,160.6,6.3,36.9,2,3.5,2.5,1,1,1,0.5,0.5,1,0,0,0,0,2.5,2.5,0,0,0,0,1,,0.0,50.0,78.8,6-11,C,Fr,IVY,25-26,26,BIG,NOR,Pennsylvania,NCAA,9/28/2006,Mid-Major
Andrew Bhesania,BSTN,0.746,0.714,201.6,7.4,18.8,13.1,0,0,1.8,8.1,24.7,0,1.6,157.5,100.9,56.6,19.6,36.7,3,10.7,7.7,2.7,4.7,0.571,1.3,3,0.444,1,1,1,0.7,1.7,2.3,0,0.3,0.7,0,0.3,,21.3,63.8,73.9,6-8,C,Fr,Patriot,25-26,26,BIG,USA,Boston University,NCAA,-,Low-Major
Marcus Vaughns,LSU,0,0,0,0,0,0,145.2,0,0,0,0,68,0,229,122.4,106.6,1,36.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,6-8,GF,Fr,SEC,25-26,26,WING,AUS,LSU,NCAA,11/28/2007,Power 5
Eyal Harel,PACI,1.5,1.5,200,0,14.8,7.7,0,0,0,0,11.6,0,3,300,93.4,206.6,5.3,36.6,3,3,2,0.7,0.7,1,0.7,0.7,1,0,0,0,0,0.3,0.3,0,0,0,0,0,,0.0,100.0,96.0,6-7,F,Fr,WCC,25-26,26,FORWARD,ISR,Pacific,NCAA,2/2/2004,High-Major
Mitchel Minor,NKU,1.167,1.167,200,0,0,0,0,25,0,0,25.5,-13.6,2.3,122.8,101.8,20.9,3.8,36.3,5,1.4,1.4,0.6,0.6,1,0.2,0.2,1,0,0,0,0,0,0,0,0,0,0.2,0,0.00,0.0,33.3,71.8,5-10,G,Sr,Horizon,25-26,26,GUARD,USA,Northern Kentucky,NCAA,-,Low-Major
Shanon Simango,DART,0.654,0.667,127.5,21.6,22.1,21.9,4.8,8,2.7,0,30,-3.2,2.5,139,102.2,36.8,25.9,36.3,10,4.2,3,0.8,1.2,0.667,0,0.1,0,1.4,2.3,0.609,0.7,0.8,1.5,0.1,0.2,0,0.2,0.1,0.50,191.7,8.3,49.9,6-8,F,So,IVY,25-26,26,FORWARD,MOZ,Dartmouth,NCAA,-,Mid-Major
Kristian Gonzalez,IDAHO,0.955,0.938,250,0,6.5,3.3,0,17.5,0,0,32.5,-11.5,2.3,143.3,119.8,23.5,9.6,35.8,1,18,18,6,8,0.75,3,4,0.75,3,3,1,0,1,1,0,0,0,2,0,0.00,37.5,50.0,93.4,6-3,G,Jr,BSKY,25-26,26,GUARD,USA,Idaho,NCAA,-,Low-Major
Cameron Boozer,DUKE,0.66,0.621,174.9,13.2,23.7,18.8,26.4,11.9,2.7,2,29.6,1.6,1.6,138.2,90.2,48,719.8,35.6,34,33,22.5,7.7,13.6,0.565,1.5,3.7,0.409,5.6,7.2,0.775,3.4,6.9,10.2,4.2,1.5,0.5,2.3,1.7,1.83,52.9,27.2,69.0,6-9,F,Fr,ACC,25-26,26,FORWARD,USA,Duke,NCAA,7/18/2007,Power 5
Ethan Kitch,STAN,0.75,0.75,100,0,0,0,0,0,0,0,32.5,0,1.5,146.2,109.4,36.9,1.5,35.4,3,0.8,1,0.3,0.7,0.5,0.3,0.7,0.5,0,0,0,0,0,0,0,0,0,0,0,,0.0,100.0,57.3,6-2,G,So,ACC,25-26,26,GUARD,USA,Stanford,NCAA,-,Power 5
Ethan McComb,BTLR,1,1,100,0,0,0,47.2,0,7.7,13.5,6.7,18.1,2,211.7,82.3,129.5,5.3,35.4,7,1,0.3,0.1,0.1,1,0,0,0,0,0,0,0,0,0,0.3,0.1,0.1,0,0,,0.0,0.0,35.0,6-1,G,Jr,Big East,25-26,26,GUARD,USA,Butler,NCAA,-,Power 5
Elliott Taite,AF,0.668,0.692,111,0,13.9,6.6,82.4,6.9,0,0,41.2,1.8,1.4,100.9,129.1,-28.2,10.4,34.7,10,1.9,1.8,0.7,1.3,0.538,0.4,0.7,0.571,0,0.1,0,0,0.2,0.2,0.2,0,0,0.1,0,2.00,7.7,53.8,50.0,6-3,G,So,MWC,25-26,26,GUARD,USA,Air Force,NCAA,-,High-Major
Logan Duncomb,WIN,0.648,0.6,133.5,16.9,25.4,21.1,15.2,11.8,1.8,3.7,30.7,-3.3,1.8,132.3,100.2,32.1,479.5,34.4,32,24.3,18.3,6.1,10.2,0.6,0,0.1,0,6.1,8.3,0.735,3.6,5.3,8.9,1.6,0.8,0.8,1.9,2.8,0.84,81.4,1.0,38.8,6-10,F,Sr,BSC,25-26,26,FORWARD,USA,Winthrop,NCAA,4/17/2003,Low-Major
Brandon Klatsky,UGA,0.8,0.8,126.7,0,9.1,5,0,0,9.2,0,19.4,0,1.6,171,76,95,7,34.3,7,1.6,1.1,0.4,0.7,0.6,0.3,0.4,0.667,0,0,0,0,0.1,0.1,0,0.3,0,0,0,,0.0,57.1,55.2,6-4,G,Jr,SEC,25-26,26,GUARD,USA,Georgia,NCAA,5/5/2003,Power 5
Dior Johnson,TARST,0.645,0.567,190.6,3.7,13.4,8.3,16.7,10.6,2.5,0.5,38.2,-4.2,1.7,128.3,107.9,20.4,241.8,33.3,20,26.3,24,7.4,14.2,0.518,1.4,2.6,0.538,7.9,9.3,0.849,0.8,2.5,3.3,1.6,1.2,0.1,2.2,2.2,0.73,65.5,18.3,66.8,6-3,PG,Jr,WAC,25-26,26,GUARD,USA,Tarleton State,NCAA,1/28/2004,Mid-Major
Sir Marius Jones,UNM,0,0,0,0,0,0,137.9,0,0,0,0,64.4,0,265.5,79.8,185.7,1,33.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,6-4,G,Fr,MWC,25-26,26,GUARD,USA,New Mexico,NCAA,-,High-Major
Rob Wilmote,STPC,1,1,100,0,0,0,0,0,0,0,22,0,2,200,82.7,117.3,0.8,33.1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.0,0.0,35.0,6-4,G,So,MAAC,25-26,26,GUARD,USA,Saint Peter's,NCAA,-,Low-Major
Alex Farley,BLLST,0,0,0,74.1,69,71.4,0,0,0,0,0,0,0,233.5,66.1,167.4,1.8,33.1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,,,,,6-1,G,Fr,MAC,25-26,26,GUARD,USA,Ball State,NCAA,-,Mid-Major
Max Young,UWG,1.25,1.25,200,0,0,0,0,0,0,0,14.5,0,2.5,250,114.3,135.7,3.5,32.8,4,1.8,1.3,0.5,0.5,1,0.3,0.3,1,0,0,0,0,0,0,0,0,0,0,0,,0.0,60.0,79.3,6-2,G,So,A-SUN,25-26,26,GUARD,USA,West Georgia,NCAA,-,Low-Major
Kaden Holdbrook,DEN,0,0,0,0,0,0,148.1,0,0,0,0,70,0,229.6,124.9,104.7,1,32.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,6-2,G,Jr,Summit,25-26,26,GUARD,USA,Denver,NCAA,-,Low-Major
Zarique Nutter,FORD,0.519,0.448,119.8,17.7,20.6,19.1,12.9,9.9,3.6,5.6,39.4,-4.4,1.3,117.5,79.1,38.3,26.5,32.6,3,16.3,12.7,4.3,9.7,0.448,0,1,0,4,5.3,0.75,2.7,3,5.7,1,1,0.7,1.3,1.7,0.77,54.6,10.3,37.7,6-7,F,Sr,A-10,25-26,26,FORWARD,USA,Fordham,NCAA,-,High-Major
Anton Strelnikov,DART,0.65,0.663,168.6,17.6,8.3,12.9,8.8,9.7,1.7,7.9,31.7,-4,1.5,123.4,107.4,16,49.4,32.4,18,5.6,4.1,1.8,2.7,0.653,0.1,0.1,0.5,0.4,0.8,0.533,0.8,0.4,1.2,0.2,0.2,0.4,0.3,0.8,0.67,29.6,3.7,44.6,6-8,F,Fr,IVY,25-26,26,FORWARD,USA,Dartmouth,NCAA,-,Mid-Major
Dylan Faulkner,SAMF,0.611,0.617,118,12.3,27.4,20,16.7,8.9,1.4,6,30.7,-0.6,1.6,124.8,100.6,24.2,456.4,32.1,30,26.1,17.2,6.4,10.4,0.617,0,0.2,0,4.3,7.6,0.563,2.6,6,8.6,1.8,0.6,1.5,1.4,1.7,1.29,73.1,1.9,35.6,6-9,F,Jr,SoCon,25-26,26,FORWARD,USA,Samford,NCAA,-,Low-Major
Derrick Anderson,YSU,0.573,0.577,120.5,4.2,9.1,7,26.4,0,8.4,2.9,20,11.6,1.2,149.9,77.3,72.7,20.3,31.9,6,5.7,2.7,1.2,2.2,0.538,0.2,1,0.167,0.2,0.3,0.5,0.2,0.5,0.7,1,0.8,0.2,0,0.2,,13.6,45.5,42.4,6-1,G,Sr,Horizon,25-26,26,GUARD,USA,Youngstown State,NCAA,-,Low-Major
Rafael Castro,GW,0.644,0.63,128,12.3,27.6,20,12.4,12,3.7,7.6,24.2,-1.8,1.7,130.3,93.1,37.3,437.9,31.7,27,26.8,15.4,5.6,8.8,0.63,0,0,0,4.3,6.6,0.65,2.7,6.1,8.8,1.7,1.8,1.7,1.6,1.8,1.06,75.0,0.0,36.5,6-11,C,Sr,A-10,25-26,26,BIG,USA,George Washington,NCAA,3/30/2003,High-Major
Solomon Davis,VT,0,0,0,0,0,0,0,0,0,100,0,0,0,0,49.2,-49.2,1,31.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,6-11,C,Fr,ACC,25-26,26,BIG,USA,Virginia Tech,NCAA,-,Power 5
Alex McFadden,DEL,0.513,0.5,100,15.3,0,8.5,33.9,0,7.8,0,28.1,9.2,2,129.4,121.6,7.8,3.5,31.3,4,2,1,0.3,0.5,0.5,0,0,0,0.5,1,0.5,0.3,0,0.3,0.3,0.3,0,0,0.3,,200.0,0.0,43.0,6-1,G,So,C-USA,25-26,26,GUARD,USA,Delaware,NCAA,-,Mid-Major
Caleb Wilson,UNC,0.626,0.59,155,11.5,23.2,17.8,17.4,11,2.7,4.3,28.2,-0.6,1.6,128.6,93.9,34.6,437.1,31.2,24,31.3,19.8,7.1,12.3,0.578,0.3,1.1,0.259,5.4,7.5,0.713,2.8,6.6,9.4,2.7,1.5,1.4,2,1.9,1.35,61.0,8.9,48.5,6-9,F,Fr,ACC,25-26,26,FORWARD,USA,North Carolina,NCAA,7/18/2006,Power 5
Caleb Van De Griend,IDHST,0.6,0.578,156.9,18.2,29.5,23.7,9,10.2,1.6,4,31.1,-4,1.4,124.1,109,15.2,312,31.1,33,18.3,11.8,4.5,8.2,0.552,0.4,1.2,0.341,2.3,3.5,0.675,2.5,3.8,6.4,0.6,0.5,0.6,1.1,1.9,0.55,42.7,14.6,48.7,6-8,F,Sr,BSKY,25-26,26,FORWARD,BAR,Idaho State,NCAA,-,Low-Major
Micah Curtis,UND,0.598,0.579,132.9,6.3,18,11.8,4.4,0,1.4,16.4,25.4,1.7,1.3,137,95.1,41.9,22,30.8,3,12.3,8.3,3.7,6.3,0.579,0,0.3,0,1,1.3,0.75,0.7,1.7,2.3,0.3,0.3,1.7,0,0,,20.6,4.8,32.7,6-8,F,Fr,Summit,25-26,26,FORWARD,USA,North Dakota,NCAA,-,Low-Major
Jack Karasinski,BELL,0.693,0.655,178.3,5.3,17.3,11.6,8.6,8.4,1.2,1.3,31.9,-2.3,1.7,133.5,125.6,7.8,396.3,30.6,30,29.8,21.7,7.1,12.6,0.561,2.4,5.7,0.415,5.2,6.4,0.807,1,3.7,4.7,1.2,0.6,0.3,1.4,2,0.86,50.8,45.2,83.1,6-7,F,Sr,A-SUN,25-26,26,FORWARD,USA,Bellarmine,NCAA,-,Low-Major
